Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,imageID,dorsal_lateral_bad,weight_bad,weight_dorsal,weight_lateral,conf_infers1,conf_infers3,conf_infers5,conf_infers7,bad_signifier
3450.0,2369.0,,INAT-129030505-1,dorsal,-6.188292503356934,7.732996940612793,-1.7466171979904177,dorsal,dorsal,dorsal,dorsal,
3451.0,2370.0,,INAT-13061440-1,bad,3.083967685699463,-6.124385833740234,2.8769352436065674,bad,bad,bad,bad,
3452.0,2371.0,,INAT-28548161-1,lateral,-1.016942024230957,-7.25256872177124,8.512815475463867,lateral,lateral,lateral,lateral,
3453.0,2372.0,,INAT-122160889-1,dorsal,-0.0027414746582508,2.6332952976226807,-2.8583149909973145,dorsal,bad,bad,bad,
3454.0,2373.0,,INAT-123289653-1,lateral,0.4511342346668243,-4.5487961769104,4.064207553863525,lateral,lateral,bad,bad,
3455.0,2374.0,,INAT-83698977-3,dorsal,-1.3852906227111816,3.717726707458496,-2.7003867626190186,dorsal,dorsal,dorsal,bad,
3456.0,2375.0,,INAT-86968110-1,lateral,-0.2760978639125824,-3.7709245681762695,3.879386186599731,lateral,lateral,bad,bad,
3457.0,2376.0,,INAT-7413083-2,lateral,-2.426280975341797,-7.828867435455322,10.469775199890137,lateral,lateral,lateral,lateral,
3458.0,2377.0,,INAT-14676054-30,bad,5.568985462188721,-5.428318023681641,-0.4591242372989654,bad,bad,bad,bad,
3459.0,2378.0,,INAT-5421953-2,bad,3.905580997467041,-2.496067523956299,-1.6424694061279297,bad,bad,bad,bad,
3460.0,2379.0,,INAT-27761861-3,lateral,-7.533041954040527,-5.8101420402526855,13.1498384475708,lateral,lateral,lateral,lateral,
3461.0,2380.0,,INAT-121904477-5,bad,2.819467782974243,-4.635899543762207,1.8596463203430176,bad,bad,bad,bad,
3462.0,2381.0,,INAT-49139971-1,dorsal,-2.725546836853028,4.55204963684082,-2.2004568576812744,dorsal,dorsal,dorsal,bad,
3463.0,2382.0,,INAT-80030768-1,bad,0.6809383034706116,-0.9369901418685912,0.1107876002788543,bad,bad,bad,bad,
3464.0,2383.0,,INAT-111443369-3,dorsal,-3.093113899230957,7.300688743591309,-4.491765022277832,dorsal,dorsal,dorsal,dorsal,
3465.0,2384.0,,INAT-84802512-1,dorsal,-3.971981287002564,5.0509114265441895,-1.3720476627349854,dorsal,dorsal,dorsal,bad,
3466.0,2385.0,,INAT-123035969-5,bad,2.692593097686768,0.5923675894737244,-3.5079448223114014,bad,bad,bad,bad,
3467.0,2386.0,,INAT-4716716-2,lateral,-2.1004505157470703,-12.686203002929688,14.859431266784668,lateral,lateral,lateral,lateral,
3468.0,2387.0,,INAT-51765567-2,dorsal,-4.956374645233154,9.532362937927246,-4.7050862312316895,dorsal,dorsal,dorsal,dorsal,
3469.0,2388.0,,INAT-75441519-3,bad,7.899302005767822,-9.67929744720459,1.521871566772461,bad,bad,bad,bad,
3470.0,2389.0,,INAT-27534654-3,dorsal,-5.630456447601318,4.716346740722656,1.0421682596206665,dorsal,dorsal,bad,bad,
3471.0,2390.0,,INAT-123904609-1,dorsal,-6.8697285652160645,6.376862049102783,0.3091083467006683,dorsal,dorsal,dorsal,bad,
3472.0,2391.0,,INAT-124293904-4,dorsal,-7.103827953338623,6.345547199249268,0.3586665093898773,dorsal,dorsal,dorsal,bad,
3473.0,2392.0,,INAT-86735916-1,bad,1.4605169296264648,-1.3259475231170654,-0.0936603844165802,bad,bad,bad,bad,
3474.0,2393.0,,INAT-48273167-1,dorsal,-3.982666254043579,2.144401788711548,1.7641130685806274,bad,bad,bad,bad,
3475.0,2394.0,,INAT-94165977-1,lateral,-9.004952430725098,-10.3419771194458,19.21874618530273,lateral,lateral,lateral,lateral,
3476.0,2395.0,,INAT-35249446-1,lateral,-4.857150554656982,-5.243467807769775,9.992301940917969,lateral,lateral,lateral,lateral,
3477.0,2396.0,,INAT-1580549-2,lateral,-7.910563945770264,-6.672859191894531,14.416041374206545,lateral,lateral,lateral,lateral,
3478.0,2397.0,,INAT-53777186-2,bad,4.111999034881592,-2.546839952468872,-1.5114079713821411,bad,bad,bad,bad,
3479.0,2398.0,,INAT-48691822-6,dorsal,-1.858312606811524,4.862496376037598,-3.18682074546814,dorsal,dorsal,dorsal,bad,
3480.0,2399.0,,INAT-28835696-1,bad,6.054763317108154,0.736554741859436,-7.50543737411499,bad,bad,bad,bad,
