,John,,,,Jessica,,,
"Erpetogomphus lampropeltis Kennedy, 1918 - Serpent Ringtail",x,,,,X,,,
"Erpetogomphus molossus Bailowitz, Danforth & Upson, 2013 - Black-tailed Ringtail",x,,,,X,,,
"Gomphurus crassus (Hagen in Selys, 1878) - Handsome Clubtail",x,,,,X,,,
"Gomphurus dilatatus (Rambur, 1842) - Blackwater Clubtail",x,,,,X,,,
"Gomphurus externus (Hagen in Selys, 1858) - Plains Clubtail",x,,,,X,,,
"Gomphurus fraternus (Say, 1839) - Midland Clubtail",x,,,,X,,,
"Gomphurus gonzalezi (Dunkle, 1992) - Tamaulipan Clubtail",x,,,,X,,,
"Gomphurus hybridus (Williamson, 1902) - Cocoa Clubtail",x,,,,X,,,
"Gomphurus lineatifrons (Calvert, 1921) - Splendid Clubtail",x,,,,X,,,
"Gomphurus lynnae (Paulson, 1983) - Columbia Clubtail",x,,,,X,,,
"Gomphurus modestus (Needham, 1942) - Gulf Coast Clubtail",x,,,,X,,,
"Gomphurus ozarkensis (Westfall, 1975) - Ozark Clubtail",x,,,,X,,,
"Gomphurus septima (Westfall, 1956) - Septima’s Clubtail",x,,,,X,,,
"Gomphurus vastus (Walsh, 1862) - Cobra Clubtail",x,,,,X,,,
"Gomphurus ventricosus (Walsh, 1863) - Skillet Clubtail",x,,,,X,,,
"Hagenius brevistylus Selys, 1854 - Dragonhunter",x,,,,X,,,
"Hylogomphus abbreviatus (Hagen in Selys, 1878) - Spine-crowned Clubtail",x,,,,X,,,
"Hylogomphus adelphus (Selys, 1858) - Mustached Clubtail",x,,,,X,,,
"Hylogomphus apomyius (Donnelly, 1966) - Banner Clubtail",x,,,,X,,,
"Hylogomphus geminatus (Carle, 1979) - Twin-striped Clubtail",x,,,,X,,,
"Hylogomphus parvidens (Currie, 1917) - Piedmont Clubtail",x,,,,X,,,
"Hylogomphus viridifrons (Hine, 1901) - Green-faced Clubtail",x,,,,X,,,
"Lanthus parvulus (Selys, 1854) - Northern Pygmy Clubtail",x,,,,X,,,
"Lanthus vernalis Carle, 1980 - Southern Pygmy Clubtail",x,,,,X,,,
"Octogomphus specularis (Hagen in Selys, 1859) - Grappletail",x,,,,X,,,
"Ophiogomphus acuminatus Carle, 1981 - Acuminate Snaketail",x,,,,X,,,
"Ophiogomphus anomalus Harvey, 1898 - Extra-striped Snaketail",x,,,,X,,,
"Ophiogomphus arizonicus Kennedy, 1917 - Arizona Snaketail",x,,,,X,,,
"Ophiogomphus aspersus Morse, 1895 - Brook Snaketail",x,,,,X,,,
"Ophiogomphus australis Carle, 1992 - Southern Snaketail",x,,,,X,,,
"Ophiogomphus bison Selys, 1873 - Bison Snaketail",x,,,,X,,,
"Ophiogomphus carolus Needham, 1897 - Riffle Snaketail",x,,,,X,,,
"Ophiogomphus colubrinus Selys, 1854 - Boreal Snaketail",x,,,,X,,,
"Ophiogomphus edmundo Needham, 1951 - Edmund’s Snaketail",x,,,,X,,,
"Ophiogomphus howei Bromley, 1924 - Pygmy Snaketail",x,,,,X,,,
"Ophiogomphus incurvatus Carle, 1982 - Appalachian Snaketail",x,,,,X,,,
"Ophiogomphus mainensis Packard in Walsh, 1863 - Maine Snaketail",x,,,,X,,,
"Ophiogomphus morrisoni Selys, 1879 - Great Basin Snaketail",x,,,,X,,,
